ticker,isin,name,issuer,instrument_type,instrument_subtype,currency,catalog_url,instrument_url,is_active,capture_status,history_status,chart_status,error_reason,data_points,actual_start,actual_end,coverage_days,coverage_percent,insufficient_history,screenshot_path
AAFD,KZ1C00008721,AsiaAgroFood,"JSC ""AsiaAgroFood""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AAFD,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ADLA,KZ1C00000918,Aidala Munai,Aidala Munai joint-stock company,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ADLA,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AIRA,KZ1C00004050,Air Astana,Air Astana JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AIRA,True,UNAVAILABLE,COMPLETE,NO_CHART,NO_CHART,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
AKGR,KZ1C00014141,Akzhal Gold Resources,"JSC ""Akzhal Gold Resources""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKGR,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
AKRL,KZ1C00001007,Ai Karaauyl,"JSC ""Ai Karaauyl""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKRL,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AKZM,KZ1C00001288,Aktobe Metalware Plant,Aktobe Metalware Plant  JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKZM,True,PENDING,PARTIAL,DATA_READY,,221,2025-08-27T19:00:00,2026-08-27T19:00:00,221,89.11,True,
ALMS,KZ1C00001080,AK Altynalmas,AK Altynalmas JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALMS,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ALMT,KZ1C00015510,AltaMet Minerals,"""AltaMet Minerals"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALMT,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ALTV,KZ1C00001460,AlmaTel Kazakhstan,Alma Telecommunications Kazakhstan JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALTV,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
AMAN,KZ1C00000983,Altay Resources,Altay Resources JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AMAN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
